"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2016-09-30","96.2","-1.5832","6.7381","Jeurys Familia",571830,544727,"null","called_strike",,,,,1,"null","R","R","R","PHI","NYM","S","null","null",2,0,2016,"-1.4910500000000000","0.89803333333333333333","-0.6370","3.2950","null","null","null",1,9,"Bot","null","null",,,425784,,"160930_215601","5.9680","-139.8350","-4.5140","-19.2630","33.0310","-22.5150","3.3200","1.4700","null","null","null","94.8270","2271","5.8860",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.6138","null","null","null","null","null","null","null",71,"3","Sinker",1,5,1,5,5,1,1,5,"Standard","Standard"
"FF","2016-09-30","96.7","-1.6085","6.6852","Jeurys Familia",571830,544727,"null","ball",,,,,3,"null","R","R","R","PHI","NYM","B","null","null",1,0,2016,"-0.69084166666666666667","1.24490000000000000000","0.7120","3.0570","null","null","null",1,9,"Bot","null","null",,,425784,,"160930_215529","7.5280","-140.4280","-5.9720","-8.0970","29.8100","-17.4410","3.3900","1.6100","null","null","null","96.2690","2268","6.2530",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.2464","null","null","null","null","null","null","null",71,"2","4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard"
"SI","2016-09-30","96.7","-1.5546","6.5999","Jeurys Familia",571830,544727,"null","ball",,,,,14,"null","R","R","R","PHI","NYM","B","null","null",0,0,2016,"-1.16957500000000000000","0.79770000000000000000","0.1600","0.7420","null","null","null",1,9,"Bot","null","null",,,425784,,"160930_215504","7.1850","-140.2890","-10.4610","-14.7980","33.5140","-23.8370","3.4300","1.6100","null","null","null","95.8910","2277","6.3860",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.1137","null","null","null","null","null","null","null",71,"1","Sinker",1,5,1,5,5,1,1,5,"Standard","Standard"
"SI","2016-09-30","97.2","-1.4621","6.5885","Jeurys Familia",519237,544727,"field_out","hit_into_play",,,,,5,"Cameron Rupp grounds out, second baseman T.  J.   Rivera to first baseman Lucas Duda.  ","R","R","R","PHI","NYM","X",4,"ground_ball",1,2,2016,"-1.5592416666666667","0.80630000000000000000","-0.1720","2.1240","null","null","null",0,9,"Bot","140.60","145.81",,,425784,,"160930_215424","6.9660","-141.1170","-7.2930","-20.5490","34.3490","-23.6290","3.3700","1.5600","14","103.3","-8.1","96.5920","2399","6.4530",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.0469","0.284","0.248","0.00",1,0,0,2,70,"4","Sinker",1,5,1,5,5,1,1,5,"Standard","Standard"
"SL","2016-09-30","86.3","-1.7148","6.6522","Jeurys Familia",519237,544727,"null","called_strike",,,,,13,"null","R","R","R","PHI","NYM","S","null","null",1,1,2016,"-0.01310000000000000000","0.17563333333333333333","-0.8760","2.3940","null","null","null",0,9,"Bot","null","null",,,425784,,"160930_215401","2.0410","-125.5820","-3.3450","1.3270","27.7270","-32.3730","3.5000","1.5600","null","null","null","84.6710","null","5.6610",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.8389","null","null","null","null","null","null","null",70,"3","Slider",1,5,1,5,5,1,1,5,"Standard","Standard"
"SI","2016-09-30","96.8","-1.6257","6.5581","Jeurys Familia",519237,544727,"null","ball",,,,,14,"null","R","R","R","PHI","NYM","B","null","null",0,1,2016,"-1.4660000000000000","0.56406666666666666667","0.4620","0.7660","null","null","null",0,9,"Bot","null","null",,,425784,,"160930_215341","8.6210","-140.3850","-9.8190","-18.6760","39.1170","-27.1540","3.5000","1.5600","null","null","null","95.0320","2373","6.1980",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.3016","null","null","null","null","null","null","null",70,"2","Sinker",1,5,1,5,5,1,1,5,"Standard","Standard"
"FF","2016-09-30","96.0","-1.5952","6.6661","Jeurys Familia",519237,544727,"null","called_strike",,,,,5,"null","R","R","R","PHI","NYM","S","null","null",0,0,2016,"-0.76320833333333333333","1.6376333333333333","-0.0850","2.7230","null","null","null",0,9,"Bot","null","null",,,425784,,"160930_215327","5.7080","-139.5250","-7.5120","-8.8540","35.2800","-12.5850","3.5400","1.5800","null","null","null","94.7800","2319","6.1630",449262,544727,425784,446263,608061,408314,452678,493316,501571,434158,"54.3362","null","null","null","null","null","null","null",70,"1","4-Seam Fastball",1,5,1,5,5,1,1,5,"Standard","Standard"
"FF","2016-09-28","97.1","-1.3876","6.2676","Jeurys Familia",543829,544727,"field_out","hit_into_play",,,,,3,"Dee Gordon grounds out sharply to first baseman James Loney.  ","R","L","R","MIA","NYM","X",3,"ground_ball",1,1,2016,"-0.68249166666666666667","1.5903333333333333","0.8200","2.7200","null","null","null",2,9,"Bot","152.62","166.67",,,425784,,"160928_221038","7.7410","-140.9310","-7.2970","-7.8650","36.6020","-12.8960","3.3100","1.4000","88","73.3","7.4","95.7710","2314","5.8880",449236,544727,425784,425766,608061,408314,452678,493316,501571,434158,"54.6115","0.282","0.251","0.00",1,0,0,2,79,"3","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2016-09-28","97.7","-1.3560","6.4313","Jeurys Familia",543829,544727,"null","ball",,,,,11,"null","R","L","R","MIA","NYM","B","null","null",0,1,2016,"-0.79243333333333333333","1.5115000000000000","-0.5560","4.1570","null","null","null",2,9,"Bot","null","null",,,425784,,"160928_221017","4.4170","-142.2050","-3.8850","-9.5870","37.6750","-13.6850","3.4000","1.4000","null","null","null","96.2370","2404","5.6480",449236,544727,425784,425766,608061,408314,452678,493316,501571,434158,"54.8509","null","null","null","null","null","null","null",79,"2","4-Seam Fastball",2,5,2,5,5,2,2,5,"Standard","Standard"
"SI","2016-09-28","98.0","-1.3899","6.2676","Jeurys Familia",543829,544727,"null","foul",,,,,5,"null","R","L","R","MIA","NYM","S","null","null",0,0,2016,"-1.10555833333333333333","1.5774333333333333","0.1850","2.2510","null","null","null",2,9,"Bot","null","null",,,425784,,"160928_220953","7.2860","-142.1830","-8.7500","-14.2980","33.8210","-12.5070","3.2400","1.4000","246","78.1","28.3","97.1500","2412","5.9850",449236,544727,425784,425766,608061,408314,452678,493316,501571,434158,"54.5140","null","null","null","null","null","null","null",79,"1","Sinker",2,5,2,5,5,2,2,5,"Standard","Standard"
