"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2019-09-29","82.4","-1.4607","6.2723","Noah Syndergaard",435263,592789,"strikeout","swinging_strike_blocked",,,,,14,"Brian McCann strikes out swinging.  ","R","L","R","NYM","ATL","S",2,"null",2,2,2019,"0.9852","-0.1493","1.3196","0.7628","null","null","null",2,6,"Top","null","null",,,621512,,"190929_205158","4.4006","-119.7918","-5.6582","8.5307","23.9245","-32.7001","3.1818","1.6794","null","null","null","82.0770","2374","6.2010",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.2985","null","null","0.00",1,0,0,"null",47,"5","Curveball",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"FF","2019-09-29","98.8","-1.4897","6.3162","Noah Syndergaard",435263,592789,"null","foul",,,,,3,"null","R","L","R","NYM","ATL","S","null","null",2,1,2019,"-0.6695","1.4142","0.7135","2.9197","null","null","null",2,6,"Top","null","null",,,621512,,"190929_205131","7.6606","-143.8034","-7.2734","-11.1218","30.4952","-10.7455","3.3900","1.6800","189","70.8","37.9","100.1120","2387","6.8080",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.6913","null","null","null","null","null","null","null",47,"4","4-Seam Fastball",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"SL","2019-09-29","90.4","-1.4455","6.3429","Noah Syndergaard",435263,592789,"null","ball",,,,,12,"null","R","L","R","NYM","ATL","B","null","null",1,1,2019,"0.4464","0.1755","0.3613","3.6986","null","null","null",2,6,"Top","null","null",,,621512,,"190929_205109","3.5502","-131.7040","-1.0494","4.4244","26.9553","-30.1571","3.3897","1.6794","null","null","null","90.2240","2103","6.0330",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.4662","null","null","null","null","null","null","null",47,"3","Slider",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"CH","2019-09-29","92.7","-1.6071","6.2307","Noah Syndergaard",435263,592789,"null","ball",,,,,13,"null","R","L","R","NYM","ATL","B","null","null",0,1,2019,"-1.3717","0.3591","-1.4180","0.6359","null","null","null",2,6,"Top","null","null",,,621512,,"190929_205047","3.5473","-134.7424","-9.3179","-17.6636","30.6764","-25.8447","3.2597","1.6794","null","null","null","93.1330","1521","6.7160",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.7838","null","null","null","null","null","null","null",47,"2","Changeup",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"CU","2019-09-29","82.1","-1.3883","6.2109","Noah Syndergaard",435263,592789,"null","called_strike",,,,,6,"null","R","L","R","NYM","ATL","S","null","null",0,0,2019,"1.3370","0.1439","0.7581","2.4953","null","null","null",2,6,"Top","null","null",,,621512,,"190929_205027","2.2814","-119.5679","-2.1099","12.2214","24.5964","-30.6115","3.3897","1.6794","null","null","null","81.8120","2406","6.2000",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.2994","null","null","null","null","null","null","null",47,"1","Curveball",3,3,3,3,3,3,3,3,"Infield shift","Standard"
"FF","2019-09-29","98.0","-1.2271","6.3495","Noah Syndergaard",588751,592789,"strikeout","swinging_strike",,,,,1,"Adeiny Hechavarria strikes out swinging.  ","R","R","R","NYM","ATL","S",2,"null",1,2,2019,"-0.3798","1.3614","-0.6598","3.3056","null","null","null",1,6,"Top","null","null",,,621512,,"190929_204946","2.4256","-142.7118","-5.9533","-5.7685","31.7156","-12.3054","3.3217","1.5394","null","null","null","98.5920","2160","6.5030",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.9967","null","null","0.00",1,0,0,"null",46,"4","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"SI","2019-09-29","97.7","-1.4426","6.3505","Noah Syndergaard",588751,592789,"null","foul",,,,,1,"null","R","R","R","NYM","ATL","S","null","null",1,1,2019,"-1.3129","0.6096","-0.8209","2.9016","null","null","null",1,6,"Top","null","null",,,621512,,"190929_204915","4.7779","-142.3120","-5.3056","-19.1788","30.1665","-22.7960","3.2700","1.5400","null","null","null","98.8630","2204","6.7130",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.7866","null","null","null","null","null","null","null",46,"3","Sinker",3,3,3,3,3,3,3,3,"Standard","Standard"
"CH","2019-09-29","91.8","-1.4638","6.1985","Noah Syndergaard",588751,592789,"null","ball",,,,,14,"null","R","R","R","NYM","ATL","B","null","null",0,1,2019,"-1.3292","0.8791","0.1402","0.7939","null","null","null",1,6,"Top","null","null",,,621512,,"190929_204852","7.0313","-133.2246","-9.7710","-17.5887","29.5377","-19.6035","3.2437","1.5394","null","null","null","92.2740","1632","6.7930",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.7069","null","null","null","null","null","null","null",46,"2","Changeup",3,3,3,3,3,3,3,3,"Standard","Standard"
"SL","2019-09-29","91.3","-1.5199","6.3543","Noah Syndergaard",588751,592789,"null","called_strike",,,,,3,"null","R","R","R","NYM","ATL","S","null","null",0,0,2019,"0.3146","0.1387","0.7248","2.7335","null","null","null",1,6,"Top","null","null",,,621512,,"190929_204834","4.9807","-132.8801","-3.5331","2.6581","28.5535","-29.9850","3.2697","1.5394","null","null","null","91.4540","2002","6.3780",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"54.1213","null","null","null","null","null","null","null",46,"1","Slider",3,3,3,3,3,3,3,3,"Standard","Standard"
"CH","2019-09-29","91.0","-1.5175","6.2151","Noah Syndergaard",455976,592789,"field_out","hit_into_play",,,,,13,"Nick Markakis grounds out, pitcher Noah Syndergaard to first baseman Pete Alonso.  ","R","L","R","NYM","ATL","X",1,"ground_ball",2,1,2019,"-1.4171","0.7108","-1.1808","2.0791","null","null","null",0,6,"Top","128.61","182.70",,,621512,,"190929_204759","3.9496","-132.4638","-6.0645","-17.7131","28.0683","-22.6210","3.5400","1.7000","3","81.8","-38.6","91.6960","1645","6.6720",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.8280","0.048","0.039","0.00",1,0,0,2,45,"4","Changeup",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2019-09-29","97.6","-1.6072","6.3078","Noah Syndergaard",455976,592789,"null","ball",,,,,14,"null","R","L","R","NYM","ATL","B","null","null",1,1,2019,"-0.6317","1.0191","0.8775","2.4078","null","null","null",0,6,"Top","null","null",,,621512,,"190929_204739","8.1823","-141.7869","-7.3668","-10.4443","32.0300","-16.8410","3.6179","1.6994","null","null","null","98.0160","2121","6.5880",566070,592789,621512,624413,605412,641645,642708,605204,607043,624424,"53.9117","null","null","null","null","null","null","null",45,"3","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
